n,tiempo[ns]
16,2.37166e+06
32,2.83614e+06
64,3.45114e+06
128,3.85582e+06
256,4.4134e+06
512,4.97817e+06
1024,5.83202e+06
2048,6.36184e+06
4096,6.6589e+06
8192,7.4196e+06
16384,7.99749e+06
32768,9.24001e+06
65536,9.78503e+06
131072,1.1201e+07
262144,1.37041e+07
524288,1.72903e+07
1048576,2.16062e+07
2097152,2.69155e+07
4194304,5.10909e+07
