n,tiempo[ns]
16,795509
32,688942
64,576742
128,579578
256,574790
512,562897
1024,559820
2048,569760
4096,615582
8192,609741
16384,584944
32768,596531
65536,629606
131072,705488
262144,829225
524288,1.00779e+06
1048576,1.36525e+06
2097152,2.03431e+06
4194304,3.45855e+06
