n,tiempo[ns]
16,60.3
32,86.3
64,158.6
128,274.5
256,627.4
512,1251.3
1024,2493.6
2048,4850.7
4096,9939
8192,15422.7
16384,35899.8
32768,72573.1
65536,144638
131072,277649
262144,578853
524288,1.19737e+06
1048576,2.45524e+06
2097152,4.75514e+06
4194304,8.58655e+06
