n,tiempo[ns]
1,1.46195e+07
2,1.35769e+07
3,1.32602e+07
4,1.29838e+07
5,1.43271e+07
6,1.40424e+07
7,1.40718e+07
8,1.49431e+07
9,1.52401e+07
10,1.43369e+07
11,1.42945e+07
12,1.43398e+07
13,1.45592e+07
14,1.46034e+07
15,1.50209e+07
16,1.47116e+07
17,1.51375e+07
18,1.47649e+07
19,1.48106e+07
20,1.46778e+07
21,1.48475e+07
22,1.54355e+07
23,1.49147e+07
24,1.48266e+07
25,1.45708e+07
26,1.47425e+07
27,1.46712e+07
28,1.46224e+07
29,1.47903e+07
30,1.46476e+07
31,1.47544e+07
32,1.46534e+07
