n,tiempo[ns]
1,2.96773e+07
2,3.28986e+07
3,2.18367e+07
4,1.96509e+07
5,1.85187e+07
6,1.80935e+07
7,1.86377e+07
8,1.99661e+07
9,2.03486e+07
10,2.02359e+07
11,2.01164e+07
12,2.05783e+07
13,2.04199e+07
14,2.07342e+07
15,2.0855e+07
16,2.0962e+07
17,2.28747e+07
18,2.20752e+07
19,2.23212e+07
20,2.23458e+07
21,2.2656e+07
22,2.21361e+07
23,2.22948e+07
24,2.23783e+07
25,2.22952e+07
26,2.21648e+07
27,2.2332e+07
28,2.25503e+07
29,2.28036e+07
30,2.24014e+07
31,2.22636e+07
32,2.26679e+07
