n,tiempo[ns]
16,1.01315e+06
32,987809
64,800898
128,738708
256,777734
512,653666
1024,587626
2048,601463
4096,584617
8192,593389
16384,591971
32768,601334
65536,615611
131072,645709
262144,673124
524288,766205
1048576,1.01854e+06
2097152,1.45123e+06
4194304,2.30559e+06
