n,tiempo[ns]
16,2.37865e+06
32,2.90203e+06
64,3.4642e+06
128,3.8739e+06
256,4.54917e+06
512,4.99045e+06
1024,5.10499e+06
2048,6.85617e+06
4096,6.61152e+06
8192,7.41685e+06
16384,8.30585e+06
32768,8.7466e+06
65536,9.90578e+06
131072,1.06621e+07
262144,1.30934e+07
524288,1.47557e+07
1048576,1.97442e+07
2097152,2.65622e+07
4194304,5.10056e+07
