n,tiempo[ns]
16,51.3
32,45.1
64,65.6
128,105.5
256,203.9
512,368.3
1024,690.7
2048,1358
4096,2691.7
8192,5350.9
16384,10688
32768,21337.4
65536,42612.9
131072,85177.5
262144,170586
524288,341038
1048576,448931
2097152,888470
4194304,2.23321e+06
