n,tiempo[ns]
16,186.3
32,326.8
64,600.2
128,1169.9
256,2301.9
512,5625.2
1024,9081.9
2048,18159.8
4096,36241.1
8192,72454.3
16384,145396
32768,290607
65536,581145
131072,1.15675e+06
262144,2.31603e+06
524288,4.64019e+06
1048576,9.29517e+06
2097152,1.85681e+07
4194304,2.76845e+07
