n,tiempo[ns]
16,1.1163e+06
32,1.26656e+06
64,1.48796e+06
128,1.67999e+06
256,1.87966e+06
512,2.15044e+06
1024,2.43201e+06
2048,2.75085e+06
4096,3.92832e+06
8192,3.9697e+06
16384,4.34232e+06
32768,5.07304e+06
65536,5.67362e+06
131072,7.43456e+06
262144,9.83022e+06
524288,1.54897e+07
1048576,2.59394e+07
2097152,5.15697e+07
4194304,1.02122e+08
