n,tiempo[ns]
16,321192
32,266246
64,277167
128,264207
256,257489
512,253941
1024,252663
2048,252034
4096,263734
8192,275320
16384,321544
32768,380843
65536,832720
131072,894444
262144,1.56411e+06
524288,3.0845e+06
1048576,5.43193e+06
2097152,1.03993e+07
4194304,2.06733e+07
