n,tiempo[ns]
1,1.00828e+07
2,8.26031e+06
3,6.48777e+06
4,5.78451e+06
5,5.02603e+06
6,4.6642e+06
7,4.40904e+06
8,4.66545e+06
9,3.80263e+06
10,3.68776e+06
11,3.21499e+06
12,2.88736e+06
13,2.67033e+06
14,2.51928e+06
15,2.45227e+06
16,2.37554e+06
17,2.41125e+06
18,2.16948e+06
19,2.43363e+06
20,2.23243e+06
21,2.27026e+06
22,2.47938e+06
23,2.55515e+06
24,2.38854e+06
25,2.36062e+06
26,2.69175e+06
27,2.31887e+06
28,2.42044e+06
29,2.38875e+06
30,2.55448e+06
31,2.52792e+06
32,2.4644e+06
