n,tiempo[ns]
16,1.47536e+06
32,1.7897e+06
64,2.09766e+06
128,2.39756e+06
256,2.70875e+06
512,3.03633e+06
1024,3.56294e+06
2048,4.16112e+06
4096,4.09433e+06
8192,4.52985e+06
16384,4.9119e+06
32768,5.64407e+06
65536,7.2719e+06
131072,8.75787e+06
262144,1.27718e+07
524288,1.77321e+07
1048576,3.18184e+07
2097152,5.71118e+07
4194304,1.1476e+08
