n,tiempo[ns]
16,540.2
32,942.7
64,1725.5
128,3357.2
256,11706.6
512,6149.7
1024,9083.4
2048,18051.6
4096,36270.3
8192,72345.5
16384,145422
32768,290834
65536,580197
131072,1.16017e+06
262144,2.32336e+06
524288,4.64138e+06
1048576,9.287e+06
2097152,1.85799e+07
4194304,2.49544e+07
