n,tiempo[ns]
16,589763
32,373273
64,424917
128,441332
256,398650
512,366078
1024,522536
2048,373483
4096,362574
8192,364106
16384,400676
32768,470611
65536,580506
131072,980845
262144,1.59559e+06
524288,3.16356e+06
1048576,5.44051e+06
2097152,1.05551e+07
4194304,2.08449e+07
