n,tiempo[ns]
1,1.40148e+07
2,1.09291e+07
3,1.06903e+07
4,8.69762e+06
5,7.38708e+06
6,5.7275e+06
7,5.52444e+06
8,4.59685e+06
9,4.26437e+06
10,4.19699e+06
11,4.25797e+06
12,4.02876e+06
13,4.5035e+06
14,3.95462e+06
15,3.89123e+06
16,4.03896e+06
17,3.82529e+06
18,4.11199e+06
19,3.90309e+06
20,4.40254e+06
21,4.16025e+06
22,4.03889e+06
23,3.82563e+06
24,4.01647e+06
25,4.36262e+06
26,3.8351e+06
27,4.03527e+06
28,3.94071e+06
29,3.99195e+06
30,3.92773e+06
31,4.1886e+06
32,4.16562e+06
