n,tiempo[ns]
1,1.99413e+07
2,2.80335e+07
3,2.31451e+07
4,2.49126e+07
5,2.57459e+07
6,2.58687e+07
7,2.66189e+07
8,2.67074e+07
9,2.60924e+07
10,2.60654e+07
11,2.58077e+07
12,2.70889e+07
13,2.67103e+07
14,2.62928e+07
15,2.57855e+07
16,2.66262e+07
17,2.63793e+07
18,2.6944e+07
19,2.58173e+07
20,2.78822e+07
21,2.78635e+07
22,2.29758e+07
23,2.28324e+07
24,2.24972e+07
25,2.26487e+07
26,2.23147e+07
27,2.23852e+07
28,2.21308e+07
29,2.26186e+07
30,2.24324e+07
31,2.23228e+07
32,2.2379e+07
