n,tiempo[ns]
1,1.21347e+07
2,1.13944e+07
3,9.81446e+06
4,7.81082e+06
5,6.74293e+06
6,6.01738e+06
7,4.20375e+06
8,3.90934e+06
9,4.30928e+06
10,4.01723e+06
11,3.89296e+06
12,3.79791e+06
13,3.76353e+06
14,3.91939e+06
15,3.77429e+06
16,3.92033e+06
17,3.93205e+06
18,4.13489e+06
19,4.09641e+06
20,4.0275e+06
21,4.04219e+06
22,4.11578e+06
23,3.7851e+06
24,3.85368e+06
25,3.75291e+06
26,3.81778e+06
27,3.92571e+06
28,3.79126e+06
29,3.9202e+06
30,3.89864e+06
31,3.84004e+06
32,3.91119e+06
