n,tiempo[ns]
16,594408
32,646377
64,663344
128,795412
256,889095
512,1.00185e+06
1024,1.10653e+06
2048,1.41195e+06
4096,1.3952e+06
8192,1.57742e+06
16384,2.08686e+06
32768,2.69309e+06
65536,4.62362e+06
131072,5.92599e+06
262144,9.6257e+06
524288,2.1664e+07
1048576,4.78881e+07
2097152,8.94888e+07
4194304,1.78533e+08
