n,tiempo[ns]
16,260610
32,156203
64,153615
128,152693
256,152202
512,154166
1024,156649
2048,124094
4096,147703
8192,160029
16384,197621
32768,266717
65536,518937
131072,871864
262144,1.35162e+06
524288,2.56121e+06
1048576,5.18678e+06
2097152,9.68108e+06
4194304,1.86334e+07
