n,tiempo[ns]
16,359848
32,291058
64,286852
128,290010
256,293910
512,294247
1024,299816
2048,295687
4096,292339
8192,294341
16384,298614
32768,315456
65536,347128
131072,413735
262144,585546
524288,894422
1048576,1.48939e+06
2097152,3.03564e+06
4194304,5.04681e+06
