n,tiempo[ns]
16,240.1
32,109.9
64,195.6
128,360
256,776.7
512,1576.2
1024,2872.5
2048,6598.9
4096,13991.2
8192,27486
16384,49927.7
32768,94519.8
65536,192676
131072,376760
262144,745151
524288,1.46048e+06
1048576,2.90382e+06
2097152,5.77979e+06
4194304,1.16661e+07
