n,tiempo[ns]
16,1.32624e+06
32,1.50566e+06
64,1.7506e+06
128,2.06778e+06
256,2.43194e+06
512,3.05652e+06
1024,2.94051e+06
2048,3.5226e+06
4096,3.57086e+06
8192,3.88992e+06
16384,4.2783e+06
32768,5.07603e+06
65536,5.49276e+06
131072,5.97499e+06
262144,7.83828e+06
524288,1.11888e+07
1048576,1.6718e+07
2097152,2.73863e+07
4194304,4.92111e+07
