n,tiempo[ns]
16,137180
32,69303.2
64,83032.8
128,87298.9
256,76403.4
512,71107.2
1024,89953.2
2048,83294.2
4096,86562.7
8192,112506
16384,169066
32768,278301
65536,505202
131072,1.05524e+06
262144,2.157e+06
524288,4.02183e+06
1048576,7.35038e+06
2097152,1.41465e+07
4194304,2.88383e+07
