n,tiempo[ns]
16,428920
32,283534
64,339920
128,404045
256,462487
512,531091
1024,608547
2048,715069
4096,958531
8192,1.45328e+06
16384,3.25127e+06
32768,5.34998e+06
65536,9.60638e+06
131072,1.91323e+07
262144,3.22671e+07
524288,6.40421e+07
1048576,1.21844e+08
2097152,2.08604e+08
4194304,3.74217e+08
