n,tiempo[ns]
16,185.5
32,328.2
64,603
128,1170.1
256,2298.6
512,4538.2
1024,9086.1
2048,18121
4096,36278
8192,72395.1
16384,146256
32768,290466
65536,582652
131072,1.16499e+06
262144,2.32565e+06
524288,4.64573e+06
1048576,9.29761e+06
2097152,1.85892e+07
4194304,3.71555e+07
